Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,8.140620,8.250000,8.031250,8.187500,0.703330,109600
1982-01-04,8.156250,8.156250,8.125000,8.125000,0.697961,80800
1982-01-05,8.031250,8.125000,7.906250,7.906250,0.679170,138400
1982-01-06,7.781250,7.906250,7.656250,7.718750,0.663063,151600
1982-01-07,7.687500,7.718750,7.625000,7.656250,0.657694,96800
1982-01-08,7.718750,7.750000,7.656250,7.687500,0.660378,258800
1982-01-11,7.593750,7.687500,7.468750,7.468750,0.641587,160000
1982-01-12,7.312500,7.468750,7.125000,7.281250,0.625481,249200
1982-01-13,7.218750,7.312500,7.125000,7.156250,0.614743,227200
1982-01-14,7.187500,7.250000,7.125000,7.187500,0.617427,52800
1982-01-15,7.250000,7.312500,7.187500,7.250000,0.622796,75200
1982-01-18,7.187500,7.250000,7.093750,7.093750,0.609373,243200
1982-01-19,7.281250,7.343750,7.218750,7.312500,0.628165,395600
1982-01-20,7.500000,7.656250,7.312500,7.593750,0.652325,548000
1982-01-21,7.750000,7.812500,7.656250,7.750000,0.665748,395600
1982-01-22,7.718750,7.750000,7.687500,7.718750,0.663063,341600
1982-01-25,7.687500,7.718750,7.625000,7.718750,0.663063,253600
1982-01-26,7.750000,7.812500,7.656250,7.656250,0.657694,262800
1982-01-27,7.593750,7.656250,7.500000,7.500000,0.644271,349600
1982-01-28,7.531250,7.593750,7.468750,7.500000,0.644271,154000
1982-01-29,7.718750,7.843750,7.562500,7.812500,0.671116,309600
1982-02-01,7.718750,7.781250,7.625000,7.625000,0.655010,272000
1982-02-02,7.625000,7.687500,7.531250,7.625000,0.655010,140400
1982-02-03,7.656250,7.750000,7.562500,7.562500,0.649641,142000
1982-02-04,7.593750,7.625000,7.531250,7.562500,0.649641,93600
1982-02-05,7.812500,7.906250,7.687500,7.875000,0.676486,149600
1982-02-08,8.000000,8.062500,7.906250,7.937500,0.681854,177200
1982-02-09,8.000000,8.031250,7.968750,8.000000,0.687223,108400
1982-02-10,8.062500,8.156250,7.937500,7.937500,0.681854,299200
1982-02-11,7.968750,7.968750,7.937500,7.937500,0.681854,138800
1982-02-12,7.937500,7.968750,7.906250,7.937500,0.681854,42400
1982-02-16,7.718750,7.750000,7.687500,7.718750,0.671310,258400
1982-02-17,7.718750,7.781250,7.625000,7.625000,0.663155,221200
1982-02-18,7.593750,7.656250,7.500000,7.562500,0.657720,101200
1982-02-19,7.468750,7.531250,7.406250,7.406250,0.644131,254400
1982-02-22,7.500000,7.562500,7.437500,7.437500,0.646848,174800
1982-02-23,7.312500,7.406250,7.187500,7.312500,0.635977,281200
1982-02-24,7.250000,7.312500,7.187500,7.218750,0.627823,208000
1982-02-25,7.218750,7.250000,7.187500,7.187500,0.625105,405200
1982-02-26,7.218750,7.250000,7.156250,7.156250,0.622388,72000
1982-03-01,7.218750,7.281250,7.125000,7.125000,0.619670,287200
1982-03-02,7.187500,7.218750,7.125000,7.125000,0.619670,124400
1982-03-03,7.093750,7.093750,7.062500,7.062500,0.614234,262800
1982-03-04,7.031250,7.093750,6.968750,6.968750,0.606081,157600
1982-03-05,6.937500,7.000000,6.875000,6.906250,0.600645,179200
1982-03-08,6.531250,6.750000,6.281250,6.281250,0.546288,782800
1982-03-09,6.437500,6.593750,6.281250,6.468750,0.562595,776400
1982-03-10,6.750000,6.906250,6.593750,6.812500,0.592491,308000
1982-03-11,6.812500,6.937500,6.656250,6.656250,0.578902,330800
1982-03-12,6.593750,6.625000,6.531250,6.562500,0.570748,127200
1982-03-15,6.593750,6.625000,6.562500,6.625000,0.576184,90400
1982-03-16,6.718750,6.843750,6.593750,6.750000,0.587056,618800
1982-03-17,6.750000,6.812500,6.687500,6.781250,0.589774,107200
1982-03-18,6.812500,6.843750,6.750000,6.781250,0.589774,57200
1982-03-19,6.812500,6.843750,6.781250,6.781250,0.589774,84400
1982-03-22,6.968750,7.093750,6.812500,7.062500,0.614234,164000
1982-03-23,7.031250,7.125000,6.906250,6.906250,0.600645,168400
1982-03-24,6.937500,7.031250,6.843750,6.875000,0.597927,237600
1982-03-25,6.906250,6.937500,6.875000,6.937500,0.603363,216000
1982-03-26,6.937500,6.968750,6.906250,6.906250,0.600645,121600
1982-03-29,6.937500,6.968750,6.875000,6.875000,0.597927,52400
1982-03-30,6.875000,6.906250,6.812500,6.812500,0.592491,319200
1982-03-31,6.656250,6.812500,6.500000,6.500000,0.565313,320800
1982-04-01,6.625000,6.781250,6.468750,6.781250,0.589774,218800
1982-04-02,6.937500,6.968750,6.906250,6.968750,0.606081,246400
1982-04-05,6.968750,7.000000,6.906250,6.968750,0.606081,410000
1982-04-06,6.937500,6.968750,6.875000,6.906250,0.600645,178800
1982-04-07,6.875000,6.906250,6.843750,6.875000,0.597927,83600
1982-04-08,6.781250,6.843750,6.718750,6.750000,0.587056,164000
1982-04-12,6.656250,6.750000,6.562500,6.656250,0.578902,212400
1982-04-13,6.750000,6.812500,6.687500,6.718750,0.584338,404400
1982-04-14,6.781250,6.812500,6.750000,6.781250,0.589774,65200
1982-04-15,6.843750,6.875000,6.781250,6.843750,0.595209,219200
1982-04-16,6.812500,6.843750,6.781250,6.812500,0.592491,575200
1982-04-19,6.875000,6.906250,6.812500,6.875000,0.597927,898400
1982-04-20,7.000000,7.125000,6.875000,7.062500,0.614234,666400
1982-04-21,7.218750,7.375000,7.031250,7.187500,0.625105,321600
1982-04-22,7.312500,7.437500,7.156250,7.343750,0.638695,471200
1982-04-23,7.468750,7.593750,7.312500,7.562500,0.657720,490400
1982-04-26,7.687500,7.781250,7.593750,7.781250,0.676745,366400
1982-04-27,7.875000,7.906250,7.812500,7.906250,0.687616,494800
1982-04-28,7.968750,8.062500,7.843750,7.875000,0.684898,573600
1982-04-29,7.781250,7.843750,7.718750,7.718750,0.671310,323200
1982-04-30,7.718750,7.750000,7.687500,7.750000,0.674027,163200
1982-05-03,7.718750,7.750000,7.656250,7.718750,0.671310,137200
1982-05-04,7.875000,8.000000,7.718750,7.906250,0.687616,183200
1982-05-05,8.031250,8.125000,7.906250,8.000000,0.695770,551200
1982-05-06,8.125000,8.250000,8.000000,8.187500,0.712076,432800
1982-05-07,8.406250,8.500000,8.281250,8.500000,0.739255,802400
1982-05-10,8.437500,8.500000,8.375000,8.406250,0.731102,1247200
1982-05-11,8.312500,8.406250,8.187500,8.375000,0.736931,540000
1982-05-12,8.312500,8.375000,8.218750,8.250000,0.725932,216000
1982-05-13,8.250000,8.281250,8.187500,8.187500,0.720432,167200
1982-05-14,8.187500,8.218750,8.156250,8.156250,0.717683,110800
1982-05-17,8.031250,8.125000,7.906250,7.937500,0.698435,153600
1982-05-18,7.843750,7.906250,7.781250,7.812500,0.687436,148400
1982-05-19,7.781250,7.812500,7.718750,7.750000,0.681936,121200
1982-05-20,7.781250,7.812500,7.718750,7.812500,0.687436,108800
1982-05-21,7.781250,7.875000,7.687500,7.781250,0.684686,179200
1982-05-24,7.750000,7.812500,7.687500,7.718750,0.679187,125600
1982-05-25,7.750000,7.812500,7.687500,7.687500,0.676437,214800
1982-05-26,7.531250,7.625000,7.437500,7.437500,0.654439,394800
1982-05-27,7.312500,7.437500,7.187500,7.187500,0.632441,390000
1982-05-28,7.187500,7.250000,7.125000,7.125000,0.626942,459200
1982-06-01,7.156250,7.187500,7.093750,7.187500,0.632441,567600
1982-06-02,7.250000,7.281250,7.187500,7.250000,0.637941,371200
1982-06-03,7.281250,7.343750,7.218750,7.250000,0.637941,331200
1982-06-04,7.250000,7.312500,7.187500,7.187500,0.632441,218800
1982-06-07,7.187500,7.250000,7.125000,7.250000,0.637941,259200
1982-06-08,7.250000,7.250000,7.218750,7.218750,0.635191,474800
1982-06-09,7.218750,7.218750,7.187500,7.187500,0.632441,62800
1982-06-10,7.218750,7.281250,7.156250,7.281250,0.640690,62000
1982-06-11,7.468750,7.562500,7.375000,7.500000,0.659938,499600
1982-06-14,7.406250,7.437500,7.375000,7.375000,0.648939,219200
1982-06-15,7.343750,7.406250,7.250000,7.343750,0.646189,152000
1982-06-16,7.406250,7.468750,7.312500,7.437500,0.654439,234400
1982-06-17,7.406250,7.437500,7.375000,7.437500,0.654439,120000
1982-06-18,7.437500,7.468750,7.406250,7.437500,0.654439,210800
1982-06-21,7.406250,7.437500,7.375000,7.406250,0.651689,84800
1982-06-22,7.437500,7.468750,7.406250,7.468750,0.657189,199600
1982-06-23,7.531250,7.562500,7.468750,7.531250,0.662688,248400
1982-06-24,7.562500,7.593750,7.500000,7.500000,0.659938,338400
1982-06-25,7.562500,7.562500,7.531250,7.562500,0.665438,125200
1982-06-28,7.750000,7.937500,7.562500,7.875000,0.692935,404800
1982-06-29,7.968750,8.031250,7.906250,7.968750,0.701184,300400
1982-06-30,7.906250,8.031250,7.781250,7.875000,0.692935,530800
1982-07-01,7.843750,7.906250,7.750000,7.750000,0.681936,172400
1982-07-02,7.687500,7.781250,7.562500,7.656250,0.673687,204000
1982-07-06,7.687500,7.750000,7.625000,7.750000,0.681936,122000
1982-07-07,7.906250,8.031250,7.781250,7.843750,0.690185,433600
1982-07-08,7.781250,7.906250,7.625000,7.906250,0.695685,366000
1982-07-09,8.031250,8.125000,7.937500,8.093750,0.712183,582800
1982-07-12,8.343750,8.468750,8.250000,8.468750,0.745180,582400
1982-07-13,8.437500,8.500000,8.375000,8.437500,0.742431,402000
1982-07-14,8.375000,8.437500,8.312500,8.437500,0.742431,230800
1982-07-15,8.562500,8.687500,8.437500,8.437500,0.742431,827600
