Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,1.234375,1.257813,1.234375,1.257813,0.014212,243200
1970-01-05,1.257813,1.265625,1.250000,1.253906,0.014168,172800
1970-01-06,1.253906,1.253906,1.242188,1.250000,0.014124,281600
1970-01-07,1.250000,1.250000,1.226563,1.234375,0.013947,124800
1970-01-08,1.234375,1.246094,1.226563,1.226563,0.013859,102400
1970-01-09,1.226563,1.250000,1.226563,1.234375,0.013947,134400
1970-01-12,1.234375,1.246094,1.234375,1.242188,0.014036,80000
1970-01-13,1.234375,1.234375,1.199219,1.199219,0.013550,608000
1970-01-14,1.195313,1.195313,1.113281,1.121094,0.012667,745600
1970-01-15,1.113281,1.113281,1.062500,1.078125,0.012182,694400
1970-01-16,1.070313,1.070313,1.046875,1.066406,0.012049,700800
1970-01-19,1.062500,1.062500,1.031250,1.031250,0.011652,473600
1970-01-20,1.031250,1.031250,0.992188,1.023438,0.011564,912000
1970-01-21,1.023438,1.058594,1.011719,1.050781,0.011873,512000
1970-01-22,1.050781,1.093750,1.046875,1.085938,0.012270,457600
1970-01-23,1.085938,1.093750,1.050781,1.050781,0.011873,387200
1970-01-26,1.050781,1.062500,1.011719,1.062500,0.012005,528000
1970-01-27,1.062500,1.070313,1.035156,1.058594,0.011961,700800
1970-01-28,1.058594,1.101563,1.058594,1.062500,0.012005,457600
1970-01-29,1.062500,1.062500,1.031250,1.062500,0.012005,982400
1970-01-30,1.058594,1.058594,1.023438,1.027344,0.011608,272000
1970-02-02,1.031250,1.062500,1.031250,1.058594,0.011961,275200
1970-02-03,1.058594,1.062500,1.015625,1.027344,0.011608,515200
1970-02-04,1.027344,1.031250,1.000000,1.000000,0.011299,492800
1970-02-05,1.000000,1.000000,0.988281,0.996094,0.011255,160000
1970-02-06,0.992188,0.992188,0.960938,0.976563,0.011034,633600
1970-02-09,0.976563,0.976563,0.945313,0.945313,0.010681,406400
1970-02-10,0.945313,0.957031,0.910156,0.910156,0.010284,652800
1970-02-11,0.910156,0.980469,0.906250,0.960938,0.010858,873600
1970-02-12,0.960938,0.960938,0.937500,0.960938,0.010858,1296000
1970-02-13,0.960938,0.968750,0.937500,0.953125,0.010769,608000
1970-02-16,0.953125,0.960938,0.937500,0.937500,0.010593,924800
1970-02-17,0.937500,0.949219,0.929688,0.945313,0.010844,755200
1970-02-18,0.945313,0.968750,0.941406,0.968750,0.011113,1075200
1970-02-19,1.000000,1.062500,1.000000,1.023438,0.011740,992000
1970-02-20,1.023438,1.042969,1.015625,1.042969,0.011964,1177600
1970-02-24,1.042969,1.054688,1.035156,1.050781,0.012054,841600
1970-02-25,1.070313,1.171875,1.070313,1.156250,0.013263,2160000
1970-02-26,1.152344,1.152344,1.101563,1.148438,0.013174,828800
1970-02-27,1.164063,1.199219,1.164063,1.179688,0.013532,1897600
1970-03-02,1.179688,1.195313,1.113281,1.121094,0.012860,1737600
1970-03-03,1.121094,1.148438,1.121094,1.140625,0.013084,464000
1970-03-04,1.140625,1.156250,1.136719,1.136719,0.013039,620800
1970-03-05,1.148438,1.156250,1.148438,1.152344,0.013219,396800
1970-03-06,1.152344,1.152344,1.132813,1.136719,0.013039,880000
1970-03-09,1.136719,1.144531,1.113281,1.117188,0.012815,361600
1970-03-10,1.109375,1.109375,1.070313,1.085938,0.012457,563200
1970-03-11,1.085938,1.085938,1.066406,1.078125,0.012367,313600
1970-03-12,1.078125,1.082031,1.066406,1.066406,0.012233,227200
1970-03-13,1.078125,1.101563,1.078125,1.078125,0.012367,441600
1970-03-16,1.089844,1.117188,1.089844,1.109375,0.012726,316800
1970-03-17,1.109375,1.136719,1.093750,1.125000,0.012905,556800
1970-03-18,1.125000,1.125000,1.097656,1.097656,0.012591,230400
1970-03-19,1.097656,1.101563,1.082031,1.089844,0.012502,227200
1970-03-20,1.089844,1.101563,1.066406,1.074219,0.012322,140800
1970-03-23,1.074219,1.093750,1.062500,1.093750,0.012547,230400
1970-03-24,1.093750,1.109375,1.082031,1.109375,0.012726,448000
1970-03-25,1.109375,1.156250,1.105469,1.148438,0.013174,1049600
1970-03-26,1.148438,1.152344,1.132813,1.132813,0.012995,281600
1970-03-30,1.132813,1.148438,1.125000,1.132813,0.012995,710400
1970-03-31,1.132813,1.132813,1.121094,1.125000,0.012905,204800
1970-04-01,1.125000,1.136719,1.117188,1.132813,0.012995,560000
1970-04-02,1.132813,1.140625,1.109375,1.109375,0.012726,364800
1970-04-03,1.109375,1.136719,1.105469,1.117188,0.012815,371200
1970-04-06,1.117188,1.125000,1.109375,1.109375,0.012726,108800
1970-04-07,1.109375,1.125000,1.093750,1.121094,0.012860,201600
1970-04-08,1.121094,1.125000,1.113281,1.125000,0.012905,249600
1970-04-09,1.125000,1.136719,1.121094,1.132813,0.012995,272000
1970-04-10,1.132813,1.132813,1.093750,1.101563,0.012636,128000
1970-04-13,1.097656,1.097656,1.074219,1.093750,0.012547,201600
1970-04-14,1.082031,1.082031,1.066406,1.070313,0.012278,326400
1970-04-15,1.070313,1.085938,1.062500,1.078125,0.012367,211200
1970-04-16,1.074219,1.074219,1.058594,1.066406,0.012233,144000
1970-04-17,1.066406,1.089844,1.058594,1.085938,0.012457,300800
1970-04-20,1.085938,1.093750,1.062500,1.082031,0.012412,201600
1970-04-21,1.082031,1.085938,1.070313,1.070313,0.012278,192000
1970-04-22,1.070313,1.082031,1.062500,1.062500,0.012188,182400
1970-04-23,1.054688,1.054688,1.011719,1.011719,0.011606,377600
1970-04-24,1.011719,1.019531,0.988281,1.000000,0.011471,419200
1970-04-27,1.000000,1.000000,0.953125,0.953125,0.010933,240000
1970-04-28,0.945313,0.945313,0.921875,0.933594,0.010709,1328000
1970-04-29,0.933594,0.953125,0.925781,0.949219,0.010889,982400
1970-04-30,0.949219,0.957031,0.937500,0.937500,0.010754,576000
1970-05-01,0.937500,0.953125,0.937500,0.953125,0.010933,451200
1970-05-04,0.945313,0.945313,0.890625,0.890625,0.010216,921600
1970-05-05,0.898438,0.949219,0.898438,0.929688,0.010665,259200
1970-05-06,0.929688,0.949219,0.914063,0.929688,0.010665,982400
1970-05-07,0.929688,0.949219,0.929688,0.945313,0.010844,275200
1970-05-08,0.945313,0.945313,0.933594,0.937500,0.010754,249600
1970-05-11,0.937500,0.937500,0.898438,0.910156,0.010441,355200
1970-05-12,0.902344,0.902344,0.875000,0.886719,0.010172,777600
1970-05-13,0.886719,0.890625,0.851563,0.875000,0.010037,700800
1970-05-14,0.875000,0.878906,0.832031,0.878906,0.010082,460800
1970-05-15,0.878906,0.960938,0.863281,0.960938,0.011023,940800
1970-05-18,0.960938,0.964844,0.929688,0.960938,0.011187,294400
1970-05-19,0.953125,0.953125,0.921875,0.921875,0.010732,224000
1970-05-20,0.921875,0.933594,0.894531,0.910156,0.010596,262400
1970-05-21,0.910156,0.914063,0.855469,0.882813,0.010277,515200
1970-05-22,0.882813,0.937500,0.878906,0.878906,0.010232,438400
1970-05-25,0.867188,0.867188,0.843750,0.851563,0.009913,406400
1970-05-26,0.851563,0.890625,0.843750,0.843750,0.009822,700800
1970-05-27,0.843750,0.914063,0.843750,0.894531,0.010414,617600
1970-05-28,0.894531,0.953125,0.886719,0.933594,0.010868,563200
1970-05-29,0.933594,0.933594,0.910156,0.933594,0.010868,553600
1970-06-01,0.937500,0.992188,0.937500,0.984375,0.011460,1152000
1970-06-02,0.984375,1.000000,0.937500,0.937500,0.010914,598400
1970-06-03,0.937500,0.937500,0.906250,0.933594,0.010868,646400
1970-06-04,0.933594,0.945313,0.921875,0.921875,0.010732,412800
1970-06-05,0.921875,0.921875,0.898438,0.902344,0.010505,329600
1970-06-08,0.902344,0.914063,0.890625,0.910156,0.010596,236800
1970-06-09,0.910156,0.914063,0.898438,0.914063,0.010641,204800
1970-06-10,0.902344,0.902344,0.890625,0.898438,0.010459,368000
1970-06-11,0.890625,0.890625,0.859375,0.859375,0.010004,153600
1970-06-12,0.855469,0.855469,0.828125,0.832031,0.009686,710400
1970-06-15,0.832031,0.859375,0.824219,0.839844,0.009777,659200
1970-06-16,0.847656,0.871094,0.847656,0.863281,0.010050,726400
1970-06-17,0.867188,0.894531,0.867188,0.871094,0.010141,726400
1970-06-18,0.871094,0.921875,0.867188,0.914063,0.010641,329600
1970-06-19,0.914063,0.929688,0.898438,0.921875,0.010732,419200
1970-06-22,0.917969,0.917969,0.886719,0.894531,0.010414,348800
1970-06-23,0.894531,0.914063,0.875000,0.882813,0.010277,326400
1970-06-24,0.875000,0.875000,0.847656,0.847656,0.009868,396800
1970-06-25,0.847656,0.863281,0.839844,0.843750,0.009822,211200
1970-06-26,0.843750,0.867188,0.843750,0.843750,0.009822,96000
1970-06-29,0.843750,0.843750,0.828125,0.828125,0.009641,294400
1970-06-30,0.828125,0.835938,0.804688,0.804688,0.009368,246400
1970-07-01,0.800781,0.800781,0.796875,0.796875,0.009277,524800
1970-07-02,0.796875,0.820313,0.796875,0.812500,0.009459,377600
1970-07-06,0.804688,0.804688,0.765625,0.769531,0.008958,403200
1970-07-07,0.769531,0.777344,0.750000,0.750000,0.008731,259200
1970-07-08,0.750000,0.777344,0.738281,0.777344,0.009049,326400
1970-07-09,0.789063,0.832031,0.789063,0.812500,0.009459,486400
1970-07-10,0.812500,0.835938,0.796875,0.816406,0.009504,150400
1970-07-13,0.816406,0.824219,0.796875,0.812500,0.009459,176000
1970-07-14,0.812500,0.828125,0.796875,0.828125,0.009641,364800
1970-07-15,0.847656,0.898438,0.847656,0.894531,0.010414,723200
1970-07-16,0.898438,0.925781,0.898438,0.914063,0.010641,496000
1970-07-17,0.917969,0.949219,0.917969,0.941406,0.010959,396800
1970-07-20,0.941406,0.992188,0.937500,0.968750,0.011278,844800
1970-07-21,0.968750,0.980469,0.945313,0.949219,0.011050,371200
1970-07-22,0.949219,0.996094,0.945313,0.968750,0.011278,348800
1970-07-23,0.968750,0.992188,0.957031,0.972656,0.011323,176000
1970-07-24,0.972656,0.984375,0.953125,0.968750,0.011278,288000
1970-07-27,0.968750,0.996094,0.968750,0.996094,0.011596,272000
1970-07-28,0.992188,0.992188,0.968750,0.968750,0.011278,204800
1970-07-29,0.968750,0.996094,0.960938,0.960938,0.011187,233600
1970-07-30,0.960938,0.972656,0.949219,0.949219,0.011050,172800
1970-07-31,0.949219,0.960938,0.941406,0.953125,0.011096,179200
1970-08-03,0.941406,0.941406,0.921875,0.921875,0.010732,137600
1970-08-04,0.921875,0.937500,0.902344,0.929688,0.010823,291200
1970-08-05,0.929688,0.953125,0.906250,0.906250,0.010550,390400
1970-08-06,0.902344,0.902344,0.882813,0.890625,0.010368,368000
